Crop,N,P,K,pH,Temperature,Humidity,Rainfall,Yield_tons_per_hectare
Rice,111.82,65.85,55.19,6.31,28.3,95.69,264.06,3.03
Onion,76.58,32.6,52.69,7.0,21.29,61.1,163.37,1.71
Sugarcane,163.54,78.01,104.94,8.7,25.12,71.85,370.24,6.94
Groundnut,43.66,87.52,20.97,6.05,24.58,44.82,178.47,1.12
Rice,53.71,31.11,58.58,6.56,24.04,84.09,240.63,2.85
Groundnut,22.96,70.32,36.42,7.0,23.21,52.19,54.81,1.47
Onion,100.08,23.49,51.94,7.08,14.67,59.79,128.37,1.54
Sugarcane,190.52,121.76,135.9,7.42,29.15,69.99,295.54,7.4
Rice,45.31,58.21,27.86,6.07,27.23,89.92,215.47,2.82
Rice,90.57,49.35,37.72,6.82,24.7,86.51,242.85,3.32
Sugarcane,222.53,109.3,123.47,6.06,34.27,94.75,218.91,7.02
Sugarcane,238.59,81.47,86.67,7.28,26.01,83.75,210.46,7.23
Groundnut,38.53,83.28,63.31,5.94,20.68,68.38,67.33,1.25
Cotton,68.21,63.58,57.07,6.98,27.9,56.84,153.08,2.1
Maize,127.76,32.81,52.05,6.72,21.45,65.63,222.8,3.7
Wheat,73.95,52.78,79.22,7.8,15.91,73.78,82.5,2.66
Soybean,71.55,91.26,40.72,6.35,25.33,54.63,41.88,1.96
Onion,129.65,62.15,24.92,7.04,17.05,69.08,156.56,1.66
Tomato,164.06,57.0,75.67,6.53,17.29,65.97,104.24,2.59
Cotton,108.05,20.39,47.09,7.57,17.96,61.16,101.32,2.07
Maize,196.74,67.38,62.51,6.83,24.45,62.67,215.05,3.39
Wheat,86.04,61.49,63.86,6.09,19.95,47.73,181.34,2.35
Rice,137.75,33.24,22.7,6.36,30.78,88.9,186.28,2.34
Cotton,63.63,55.73,89.75,7.56,28.84,64.67,215.62,2.3
Cotton,127.66,33.87,89.25,7.23,31.25,67.61,137.93,2.07
Potato,117.9,74.07,104.26,6.14,19.22,84.6,193.27,2.28
Onion,74.58,57.67,94.93,6.96,20.52,70.36,129.79,1.68
Tomato,161.19,67.72,106.51,6.62,31.56,82.07,166.09,2.62
Onion,169.05,71.53,33.01,6.92,20.68,85.64,162.57,1.82
Groundnut,7.2,72.03,12.71,5.4,25.02,75.12,50.37,1.15
Soybean,115.67,76.93,94.32,6.5,23.79,59.06,111.6,1.38
Maize,96.11,109.27,50.98,8.1,20.8,60.71,141.23,3.11
Groundnut,56.21,61.33,57.51,6.87,32.54,49.92,73.81,1.26
Potato,261.84,95.45,102.13,6.34,14.98,77.62,197.73,1.96
Groundnut,7.3,48.44,33.61,5.52,24.14,46.07,38.16,1.16
Sugarcane,228.6,129.78,69.28,7.99,24.37,82.47,262.93,7.0
Maize,115.03,33.75,33.94,7.01,34.78,54.7,175.06,3.04
Soybean,79.48,21.38,79.96,6.51,30.59,67.68,139.53,2.0
Rice,83.95,43.35,24.12,6.23,22.94,72.62,262.56,3.49
Sugarcane,162.58,107.9,93.65,7.9,30.67,74.93,212.76,7.11
Sugarcane,222.83,107.06,107.55,6.9,29.27,82.91,299.11,7.29
Maize,131.0,42.2,54.03,7.24,23.61,58.37,163.23,4.03
Sugarcane,235.76,114.62,106.4,7.19,25.47,64.38,221.6,7.12
Rice,61.77,37.96,39.49,6.19,30.48,78.11,210.73,3.11
Tomato,140.79,49.3,112.17,6.39,23.53,75.94,160.59,2.78
Onion,153.27,63.24,48.66,6.54,21.33,79.84,30.65,1.46
Maize,143.43,53.35,41.82,7.7,23.51,69.12,97.09,3.39
Wheat,147.98,93.36,64.43,6.85,22.48,34.03,161.46,2.3
Groundnut,53.82,6.15,27.43,6.18,23.19,56.25,145.22,1.14
Rice,52.08,58.81,45.02,6.65,23.54,54.52,154.69,2.64
Soybean,61.6,43.16,52.25,6.94,31.38,78.37,85.12,1.93
Cotton,146.95,18.31,96.96,6.5,29.47,59.13,129.5,2.31
Onion,90.98,17.21,57.13,6.71,24.77,73.82,98.32,1.8
Tomato,124.33,95.84,72.59,6.16,28.4,60.71,139.61,2.57
Rice,76.96,88.75,64.68,7.01,30.65,73.08,213.07,2.63
Tomato,125.97,61.9,72.05,6.64,21.37,77.03,19.21,3.06
Rice,40.65,18.65,48.18,6.77,38.39,82.96,197.98,2.71
Wheat,167.71,108.49,56.3,7.27,19.63,59.06,243.95,2.12
Rice,9.97,46.35,64.02,6.61,30.51,87.52,205.55,2.55
Rice,96.19,0.83,42.28,5.71,27.81,75.05,251.7,2.82
Wheat,134.2,56.17,81.04,6.2,15.52,72.86,128.22,2.21
Soybean,123.58,81.54,64.22,6.55,34.3,82.59,207.39,1.78
Potato,153.68,72.02,74.62,6.25,20.93,71.5,180.68,2.24
Soybean,106.02,42.36,28.9,6.38,30.14,58.41,182.48,1.43
Wheat,112.6,31.74,7.8,7.18,19.11,46.03,124.17,2.43
Onion,88.96,46.03,42.03,6.51,19.02,58.75,62.34,1.63
Cotton,88.61,37.2,48.57,7.38,34.16,55.0,123.32,2.05
Potato,182.01,114.76,96.72,5.74,19.71,76.29,124.99,2.28
Maize,178.14,54.28,100.84,6.03,20.74,67.34,292.34,2.86
Sugarcane,168.03,110.98,95.03,7.53,29.65,66.43,367.44,6.77
Rice,134.61,58.67,25.09,7.44,21.14,90.08,95.87,2.18
Cotton,65.55,34.99,70.23,6.59,17.82,59.63,122.45,2.21
Soybean,85.16,79.08,48.49,7.01,22.12,62.81,198.8,2.25
Wheat,137.21,42.22,40.61,7.66,26.36,59.36,267.09,2.57
Onion,66.78,44.49,50.11,6.84,28.25,55.44,33.42,1.85
Cotton,84.79,98.47,88.86,6.74,34.06,62.3,151.68,1.88
Tomato,132.61,17.94,106.34,4.78,21.79,54.04,94.96,2.37
Tomato,84.1,4.51,84.14,7.54,22.24,79.59,195.22,1.89
Maize,136.28,44.47,33.87,7.65,26.12,72.89,177.81,3.23
Soybean,100.34,85.05,56.35,6.74,19.83,77.07,197.3,1.91
Wheat,66.1,92.71,41.1,7.19,24.76,70.8,60.0,2.24
Onion,101.53,78.78,59.17,7.52,24.7,64.26,109.69,2.05
Tomato,81.09,78.12,67.45,6.08,29.12,61.17,138.85,2.42
Wheat,49.29,69.55,62.53,6.04,16.51,41.93,186.58,2.7
Cotton,125.48,69.78,59.64,7.27,27.95,56.85,167.87,2.37
Wheat,108.31,31.85,56.25,6.89,21.42,68.33,54.27,2.48
Wheat,91.08,85.02,55.83,6.74,22.69,54.07,149.24,2.96
Potato,203.59,71.85,96.35,5.69,8.37,85.36,271.07,1.99
Sugarcane,175.5,94.54,101.7,6.63,27.71,85.15,256.37,7.84
Tomato,130.94,38.22,68.48,6.62,18.39,57.48,60.39,2.71
Sugarcane,189.01,123.65,82.07,5.97,29.35,91.48,251.73,7.0
Cotton,51.27,73.96,53.85,7.77,31.27,47.3,178.36,1.72
Onion,56.58,32.67,65.37,7.37,20.02,46.32,22.16,1.32
Sugarcane,161.18,105.31,138.76,7.6,24.36,68.06,225.04,7.07
Groundnut,77.14,40.65,70.78,7.25,25.25,56.24,81.97,0.93
Soybean,69.25,77.68,19.02,6.23,27.65,78.7,239.76,1.51
Cotton,80.44,4.67,47.8,6.12,25.39,52.72,143.47,1.85
Maize,164.1,72.28,29.33,5.96,27.92,81.47,306.77,3.66
Rice,123.73,49.23,46.04,6.56,27.47,86.07,173.97,2.85
Onion,64.66,59.5,30.82,6.82,24.5,70.86,138.58,1.6
Potato,164.58,70.27,60.58,6.27,19.49,85.13,148.74,1.91
Sugarcane,197.25,117.73,109.52,7.13,21.68,64.74,273.86,7.11
Potato,140.45,80.77,123.0,6.31,22.81,78.02,107.73,2.18
Groundnut,2.02,61.82,26.12,6.0,27.11,76.41,132.86,1.1
Sugarcane,204.56,133.03,112.3,6.4,25.42,65.08,322.04,7.44
Rice,61.25,27.07,40.89,6.54,23.19,77.51,127.32,3.32
Rice,27.19,4.57,48.7,5.88,25.5,80.63,233.77,2.36
Wheat,173.38,59.99,83.82,7.14,30.66,70.58,152.17,2.54
Wheat,112.18,54.58,33.93,6.6,30.3,47.96,117.23,2.56
Tomato,118.19,67.67,70.62,6.72,29.71,82.67,106.62,2.92
Potato,115.62,65.57,76.53,5.98,13.7,59.79,130.7,1.82
Maize,189.82,58.85,69.71,6.55,19.03,76.76,184.44,3.74
Wheat,106.0,51.1,80.1,7.51,20.77,93.35,135.97,2.38
Onion,69.92,44.51,80.38,6.71,29.83,69.34,154.17,1.66
Wheat,131.38,75.05,48.67,6.72,21.75,79.41,72.96,2.24
Wheat,112.09,80.62,61.03,6.42,20.4,42.67,181.45,2.67
Cotton,97.54,58.54,74.11,6.73,33.17,62.97,31.29,2.24
Sugarcane,167.59,74.64,110.7,6.99,29.29,68.3,268.51,7.38
Potato,215.11,76.38,71.03,5.75,22.24,67.27,75.89,1.9
Cotton,84.0,28.35,74.35,6.96,31.95,50.54,147.9,2.09
Cotton,66.11,39.14,37.63,7.89,28.71,47.05,101.12,1.54
Potato,193.03,106.73,102.15,6.16,11.66,63.05,65.14,2.06
Rice,111.83,32.34,46.95,6.99,19.88,98.46,257.87,2.98
Wheat,147.72,79.42,65.85,7.71,17.74,64.62,216.08,2.04
Maize,163.14,84.49,15.83,6.94,21.03,68.97,175.25,3.18
Rice,113.29,31.63,45.4,7.16,23.42,80.08,175.23,2.89
Cotton,164.68,59.14,76.27,7.26,30.15,36.74,234.84,1.64
Groundnut,81.98,62.36,43.62,6.05,40.03,66.04,100.88,0.88
Groundnut,10.35,51.01,21.39,6.54,23.77,70.05,149.13,1.36
Soybean,97.41,72.61,20.75,7.37,24.72,76.96,166.18,1.3
Wheat,100.29,76.81,61.25,7.34,20.46,72.29,155.7,3.01
Wheat,90.6,57.45,48.13,7.19,18.61,57.7,114.76,2.6
Rice,79.69,0.0,0.0,6.53,14.15,78.07,181.14,2.49
Rice,59.84,71.39,56.96,5.74,26.58,95.27,165.12,2.63
Maize,192.12,59.19,72.46,6.35,10.56,77.29,201.94,3.3
Maize,117.21,49.73,73.01,6.92,24.41,67.21,255.43,3.47
Groundnut,15.76,21.93,51.76,5.74,21.09,73.16,143.62,1.4
Groundnut,0.0,85.79,60.58,6.05,24.42,60.78,76.08,1.52
Potato,138.43,58.64,131.77,5.72,21.93,81.75,147.07,2.0
Tomato,118.55,36.6,79.53,6.89,32.59,59.12,107.48,2.61
Cotton,108.21,19.56,51.43,6.15,20.81,48.4,203.54,2.08
Wheat,121.95,86.94,67.67,7.24,17.63,53.63,84.44,2.54
Groundnut,21.58,56.89,39.26,6.02,22.44,63.99,75.11,1.68
Groundnut,0.0,56.73,54.94,6.51,26.02,69.15,36.35,1.22
Maize,144.2,90.73,9.59,6.27,33.74,40.69,220.72,3.01
Wheat,127.64,88.28,65.86,7.72,17.54,56.4,189.34,2.55
Soybean,97.92,83.68,67.37,5.71,24.29,72.82,117.81,1.84
Soybean,88.85,49.47,46.13,5.91,23.61,54.73,135.82,1.98
Potato,122.53,115.71,95.09,6.14,14.81,70.86,166.22,2.11
Cotton,100.1,66.14,59.64,6.33,20.37,69.38,166.56,2.34
Soybean,66.92,33.34,44.35,6.45,20.34,55.3,43.48,1.98
Potato,113.84,86.19,92.04,6.29,19.68,72.68,156.52,2.27
Soybean,61.54,79.6,41.54,6.46,18.92,72.74,99.47,1.78
Maize,124.81,67.52,9.87,7.14,24.81,60.33,102.59,3.39
Wheat,100.97,86.12,69.73,7.77,20.68,70.78,173.14,2.49
Maize,155.62,53.32,91.38,6.75,25.13,68.9,125.65,3.58
Rice,49.24,14.97,36.67,5.86,35.81,77.69,38.94,2.72
Maize,166.61,61.57,22.88,6.75,22.59,55.24,126.81,3.48
Wheat,147.09,69.23,25.44,7.31,23.86,73.94,102.51,2.43
Soybean,97.03,49.45,61.04,6.49,21.77,62.39,192.46,1.71
Tomato,84.96,66.89,79.39,5.84,21.4,61.83,87.92,3.19
Potato,140.92,62.37,140.44,6.44,21.62,66.67,209.57,2.32
Tomato,124.41,25.67,79.6,7.36,25.1,66.24,108.58,2.65
Potato,126.01,79.18,128.85,6.66,14.23,87.76,188.06,2.34
Maize,162.96,51.39,41.89,7.22,18.97,54.59,195.31,3.41
Tomato,144.72,44.92,84.89,6.66,21.59,67.6,86.0,2.68
Soybean,51.15,55.53,64.97,5.93,23.56,75.18,26.12,2.19
Groundnut,61.36,19.23,0.0,6.21,21.4,69.61,119.7,0.97
Tomato,102.89,92.0,95.07,6.8,30.0,59.81,184.24,2.42
Rice,90.04,36.87,2.44,6.98,18.88,70.33,177.36,2.39
Maize,116.98,74.9,43.07,6.67,20.42,65.46,163.74,3.3
Potato,143.97,55.16,117.95,5.8,30.61,84.67,143.49,2.28
Potato,87.31,99.25,83.59,6.04,14.36,68.79,140.94,2.11
Wheat,119.19,59.96,27.49,8.17,21.16,64.38,133.0,2.53
Soybean,84.53,65.79,76.04,7.54,33.39,52.33,106.98,1.95
Potato,137.99,79.12,57.1,6.46,8.62,59.28,99.27,2.13
Rice,31.32,18.79,62.98,6.44,30.17,67.64,197.31,2.44
Wheat,96.14,58.98,22.16,7.22,18.0,57.43,192.59,2.63
Cotton,90.45,27.67,96.57,6.33,31.15,39.03,165.89,2.27
Groundnut,0.0,58.99,47.33,6.55,28.83,50.38,89.14,1.63
Rice,46.77,46.46,63.03,6.0,20.92,67.34,219.75,2.47
Onion,95.94,77.43,48.97,6.41,22.63,64.31,122.63,2.12
Tomato,131.9,100.68,89.11,6.12,35.44,68.75,67.26,2.91
Tomato,98.01,44.55,68.97,6.58,28.65,43.51,166.33,2.48
Sugarcane,187.61,134.3,104.27,7.42,29.76,82.64,330.9,6.83
Groundnut,62.54,80.94,50.02,5.86,21.24,83.62,54.75,1.39
Onion,111.72,90.92,43.63,6.0,22.01,50.14,233.85,1.69
Onion,123.34,65.58,36.13,6.73,22.55,84.44,42.15,1.53
Tomato,109.11,46.53,50.82,5.15,14.87,80.99,119.59,2.72
Wheat,102.52,58.03,92.26,7.78,24.71,62.02,175.9,2.65
Soybean,74.99,51.91,72.45,5.85,33.44,67.25,64.3,1.78
Sugarcane,173.77,88.49,88.12,6.88,28.46,74.35,288.19,7.37
Potato,159.78,80.15,110.81,6.02,14.77,65.82,160.51,2.63
Groundnut,23.13,35.98,34.88,5.92,23.67,45.56,87.78,1.61
Soybean,47.54,42.43,31.04,5.81,21.22,68.02,62.9,1.69
Maize,128.9,51.42,57.54,6.48,22.65,77.98,134.0,3.86
Onion,89.57,27.28,38.92,6.83,28.27,72.99,103.2,1.97
Tomato,63.57,64.99,86.2,6.66,15.95,59.83,111.68,2.76
Rice,137.46,26.71,13.8,6.91,41.07,91.07,162.57,2.89
Rice,100.6,24.18,78.69,6.07,24.89,87.27,198.75,2.59
Maize,151.16,92.29,3.51,6.94,23.55,57.48,142.24,2.7
Onion,76.05,75.81,66.64,6.7,14.94,73.22,165.49,1.77
Potato,120.94,62.7,133.12,5.4,20.39,57.22,134.98,2.25
Potato,149.1,90.48,75.48,5.59,20.41,81.97,160.99,2.5
Maize,100.28,60.68,86.45,7.44,28.17,63.45,231.74,3.22
Wheat,74.48,79.92,42.68,7.38,11.92,75.99,136.26,2.14
Potato,129.34,73.26,99.88,6.66,18.35,53.29,88.51,2.87
Groundnut,34.06,69.02,33.83,5.7,24.59,61.28,76.99,1.96
Sugarcane,181.51,78.9,116.18,7.67,30.15,68.98,154.97,7.5
Groundnut,56.06,41.2,41.19,6.09,35.14,49.62,69.0,1.21
Cotton,109.3,51.12,74.0,6.56,35.42,50.46,179.38,2.94
Rice,53.8,46.85,37.37,7.52,26.6,82.49,211.34,3.06
Onion,122.66,51.87,59.64,6.91,18.98,62.31,127.77,1.91
Sugarcane,237.35,137.18,89.58,7.27,29.03,63.93,278.23,7.21
Onion,67.69,42.51,40.56,6.05,21.82,53.55,107.95,1.79
Soybean,91.79,68.83,80.62,6.1,22.21,76.55,123.4,2.08
Soybean,96.85,98.36,48.17,5.76,27.7,69.28,156.72,1.98
Sugarcane,183.96,79.82,97.08,6.01,30.4,70.93,293.08,7.05
Wheat,120.19,91.52,73.51,7.49,21.7,43.38,158.33,2.7
Potato,117.65,77.47,41.98,5.83,15.82,89.02,119.84,2.06
Potato,147.62,68.19,114.4,5.0,23.68,74.88,215.08,1.72
Tomato,46.91,54.16,90.12,6.22,26.92,79.81,153.3,2.46
Potato,152.87,67.7,98.89,5.49,14.08,80.14,126.86,2.21
Wheat,133.48,67.6,55.69,6.93,22.08,69.69,160.05,2.56
Potato,143.36,71.86,78.94,6.25,20.87,82.26,100.45,2.33
Potato,149.81,86.15,102.59,5.99,17.34,86.07,106.91,2.38
Groundnut,62.44,33.78,24.8,6.57,19.88,66.61,75.52,1.23
Wheat,83.38,83.7,35.66,7.36,14.12,78.08,146.43,2.75
Potato,125.43,71.15,124.21,5.29,14.5,79.95,99.06,2.3
Rice,85.11,9.73,59.36,5.87,31.86,81.28,177.25,2.55
Wheat,129.88,42.55,84.16,7.62,28.21,62.81,129.78,2.47
Soybean,68.9,64.96,58.73,7.12,26.1,55.97,109.63,2.33
Soybean,33.3,74.78,42.19,6.06,27.98,85.61,147.02,1.7
Rice,41.12,38.02,13.36,6.35,27.68,56.39,269.42,2.46
Onion,94.42,60.68,76.17,6.4,9.45,75.79,37.53,1.7
Onion,112.65,0.0,17.7,6.57,9.08,51.62,106.14,1.36
Rice,89.08,48.98,6.36,5.86,31.81,95.24,151.63,2.84
Wheat,144.21,64.75,55.02,6.68,29.93,60.96,169.45,2.74
Tomato,95.63,61.02,73.56,6.33,25.58,60.84,59.76,2.85
Tomato,104.05,53.1,41.42,6.98,26.62,77.08,139.37,2.3
Cotton,106.87,37.82,50.74,7.25,36.29,69.93,151.11,2.17
Onion,93.53,31.91,44.61,7.25,31.12,56.84,0.25,1.59
Onion,127.12,91.45,76.2,7.44,17.75,56.79,33.81,1.28
Sugarcane,227.42,132.49,106.91,7.07,24.67,73.87,260.16,6.91
Potato,177.64,71.52,117.23,5.99,19.49,67.98,132.77,2.4
Groundnut,26.06,27.9,42.23,6.39,33.86,71.53,96.77,1.47
Groundnut,23.15,39.53,50.12,6.72,33.2,55.88,74.4,1.45
Rice,22.04,15.94,39.31,6.69,30.46,72.2,175.44,2.55
Sugarcane,188.57,113.76,73.84,6.63,28.51,61.34,154.98,6.93
Potato,142.72,92.61,113.03,6.79,18.51,77.36,137.48,2.3
Groundnut,92.42,55.23,46.97,5.63,29.05,66.58,155.52,1.01
Onion,96.2,46.61,48.56,6.85,28.34,75.73,137.65,2.28
Tomato,40.31,50.8,79.77,6.16,19.35,52.83,104.43,2.6
Tomato,143.22,44.96,84.4,7.18,16.4,68.41,134.32,2.65
Potato,175.52,50.04,79.88,6.34,9.49,83.12,172.49,2.24
Groundnut,15.92,60.2,16.55,5.99,27.18,51.01,110.91,1.17
Potato,158.06,114.84,74.87,5.99,9.91,66.67,185.1,2.04
Wheat,142.27,67.12,58.71,6.49,23.43,63.04,73.6,2.52
Wheat,36.93,32.69,53.73,6.47,15.84,73.91,201.44,2.07
Sugarcane,223.81,124.3,112.37,7.35,35.49,82.7,189.35,7.14
Rice,63.44,63.05,28.39,6.12,33.13,82.6,305.59,2.62
Groundnut,14.43,72.44,14.42,6.86,20.96,66.1,7.85,1.23
Groundnut,0.0,88.53,18.57,5.79,29.68,53.99,135.0,0.9
Cotton,76.36,49.45,45.66,7.2,32.39,60.53,152.16,1.8
Onion,86.15,45.46,79.09,6.51,10.49,54.96,66.94,1.21
Onion,129.06,18.61,58.92,6.25,29.53,62.24,76.04,1.68
Groundnut,0.0,61.51,30.37,5.9,26.56,49.1,90.46,1.35
Wheat,50.74,81.83,76.32,6.07,9.95,68.42,188.23,2.32
Rice,37.19,76.57,24.9,6.62,29.26,95.93,206.26,2.51
Maize,147.69,46.07,3.63,6.82,17.94,68.5,187.44,3.21
Potato,118.41,100.73,109.5,5.41,28.34,72.89,83.29,1.95
Maize,104.73,97.19,71.61,7.17,27.76,77.48,167.9,3.29
Soybean,55.64,56.93,59.0,4.96,22.9,71.65,126.12,1.84
Wheat,137.67,45.85,35.56,7.59,25.21,54.01,146.57,2.72
Cotton,101.32,60.6,79.51,6.84,30.58,45.35,139.71,2.31
Tomato,109.18,35.07,82.63,6.52,19.8,54.03,37.78,2.57
Sugarcane,209.19,137.0,99.1,6.39,28.97,87.51,215.86,7.55
Sugarcane,205.27,112.94,137.18,6.28,34.48,74.05,202.54,7.16
Wheat,170.73,86.7,19.99,6.62,24.71,59.78,149.1,1.89
Soybean,57.64,32.84,16.93,5.87,21.36,62.39,87.89,1.86
Sugarcane,172.79,128.52,90.32,7.42,32.36,66.02,233.6,7.13
Potato,161.17,77.42,85.03,6.06,19.7,93.5,153.41,2.36
Sugarcane,212.85,81.01,65.49,7.04,35.36,87.34,156.03,7.16
Groundnut,0.0,59.18,47.99,5.34,32.0,77.44,96.88,1.29
Wheat,164.37,37.47,37.98,6.58,20.19,60.34,122.34,2.36
Soybean,63.81,50.16,34.63,6.12,16.0,67.76,32.22,1.98
Rice,63.2,37.61,32.54,6.38,34.32,66.49,118.83,3.12
Tomato,105.12,67.19,94.33,5.95,27.02,59.78,123.73,2.49
Wheat,123.96,59.58,37.94,6.32,23.75,55.47,200.6,2.61
Potato,189.07,61.03,129.45,6.09,20.0,64.96,186.46,2.28
Potato,140.27,37.32,77.73,5.44,20.25,70.35,127.72,2.03
Tomato,164.08,60.91,83.95,6.19,23.85,60.24,137.19,2.47
Onion,122.33,35.3,68.97,7.75,22.01,78.12,137.57,1.37
Maize,153.33,80.02,61.95,6.89,25.83,65.05,186.66,3.5
Potato,142.91,50.94,90.05,5.7,14.73,64.48,163.46,2.19
Rice,67.39,11.85,34.04,7.07,33.8,83.74,185.24,2.99
Onion,79.98,44.01,35.15,7.25,25.9,64.65,186.56,1.79
Rice,90.69,44.98,14.75,6.05,27.73,79.54,229.49,2.86
Onion,102.12,51.77,52.56,6.81,14.98,42.39,52.91,1.76
Soybean,44.65,58.89,71.8,6.86,28.33,79.85,83.77,1.7
Tomato,138.45,50.51,71.6,7.43,24.48,87.64,28.84,2.53
Potato,162.26,81.87,58.89,5.89,30.37,77.47,180.22,2.03
Onion,107.3,49.75,72.38,7.34,24.04,65.71,16.04,1.42
Maize,152.46,87.49,76.63,6.36,17.45,74.33,139.27,3.08
Tomato,105.19,49.78,106.4,6.93,20.31,83.98,126.25,2.85
Maize,189.82,64.75,61.43,6.6,29.65,65.9,228.02,3.81
Maize,166.42,68.13,48.46,5.32,21.44,74.33,228.49,3.57
Wheat,124.94,56.21,73.79,8.1,23.54,53.3,146.08,3.05
Soybean,37.74,47.7,64.2,7.15,29.04,63.93,156.83,1.83
Tomato,130.52,58.06,81.06,6.05,36.4,71.57,147.43,2.73
Tomato,145.36,34.03,45.09,6.48,34.27,82.08,79.58,2.46
Groundnut,10.92,58.53,50.09,6.66,19.17,47.34,96.22,1.18
Onion,66.71,55.44,31.68,7.93,19.33,62.3,114.88,1.37
Soybean,95.26,66.83,43.01,6.64,28.14,84.35,255.01,1.72
Soybean,41.08,62.05,8.42,6.82,26.57,73.67,114.82,1.74
Tomato,134.17,64.0,53.1,6.59,33.27,72.41,126.85,2.97
Sugarcane,177.63,117.79,89.4,7.74,33.99,70.88,236.7,7.54
Cotton,44.34,41.16,82.41,6.85,28.67,34.59,77.28,2.15
Soybean,57.47,33.95,71.23,6.76,20.56,71.39,77.2,1.7
Groundnut,35.28,33.83,54.85,6.65,28.32,64.14,27.36,1.77
Cotton,97.26,31.29,72.92,7.37,30.56,44.15,157.88,2.26
Potato,165.04,63.97,120.92,6.09,23.94,59.65,79.93,2.14
Maize,194.03,109.26,32.23,6.83,25.78,72.18,224.25,2.96
Maize,151.94,29.83,66.22,6.63,18.97,68.33,161.51,3.64
Soybean,53.22,104.46,67.09,7.14,20.86,87.88,69.37,1.57
Tomato,159.14,70.14,55.22,7.07,25.7,65.84,42.9,2.57
Onion,95.1,53.13,18.3,6.59,24.4,83.76,89.74,2.03
Cotton,123.62,54.68,49.75,6.51,31.09,49.74,89.23,2.14
Onion,95.09,68.02,39.89,7.2,24.2,48.26,114.73,1.24
Groundnut,3.14,59.26,39.79,5.32,21.4,33.91,32.87,1.42
Onion,83.28,53.4,50.27,6.82,27.12,62.97,145.53,1.35
Sugarcane,233.34,74.2,78.54,6.85,35.42,66.11,217.21,6.8
Sugarcane,207.66,114.87,134.09,8.4,33.25,78.66,189.13,7.53
Sugarcane,206.46,94.22,107.75,6.88,18.31,80.72,317.12,7.57
Tomato,119.79,60.27,83.45,6.57,23.7,70.25,197.75,3.0
Cotton,103.15,63.18,83.19,7.47,24.22,50.19,79.32,2.41
Groundnut,51.54,24.54,47.82,6.89,25.82,63.14,136.52,1.04
Maize,154.56,95.44,38.14,7.22,25.14,58.25,175.17,3.5
Maize,123.35,64.91,51.37,6.72,23.67,67.26,206.57,3.52
Onion,92.43,10.53,46.76,6.88,24.85,66.54,127.41,1.7
Onion,79.73,27.68,44.74,6.42,21.4,60.08,120.95,1.74
Groundnut,43.42,58.85,36.41,6.14,29.51,84.46,50.54,1.5
Wheat,84.13,59.58,46.52,6.94,20.78,55.11,60.81,2.92
Groundnut,55.18,47.39,22.11,6.24,28.8,67.7,143.11,1.52
Onion,47.77,43.91,69.86,6.34,28.1,83.1,159.56,1.66
Potato,136.57,85.63,73.08,5.61,14.45,75.62,130.39,2.33
Tomato,146.33,45.81,82.97,6.29,24.95,76.86,166.06,2.82
Tomato,132.42,31.6,58.37,6.09,25.79,57.09,136.88,2.61
Soybean,21.93,38.25,70.88,6.85,21.75,59.65,7.48,1.8
Onion,101.23,87.67,46.17,6.94,26.46,81.39,125.05,1.7
Cotton,100.84,29.08,62.36,7.03,34.91,50.7,173.13,2.21
Soybean,117.31,73.53,62.18,6.99,30.17,80.64,236.59,2.05
Rice,93.99,31.17,47.33,5.54,32.14,69.4,256.12,3.45
Onion,56.47,48.99,28.71,5.94,21.47,71.35,137.72,1.67
Wheat,70.07,62.47,30.15,6.29,15.02,70.5,177.26,2.46
Rice,54.12,32.24,12.6,7.18,38.99,85.57,236.59,2.65
Soybean,31.42,43.12,40.69,6.31,22.92,70.48,87.49,2.16
Maize,109.04,87.75,44.76,7.03,27.54,66.57,123.33,3.42
Rice,85.07,42.13,19.54,7.15,15.53,77.5,153.93,3.05
Rice,110.5,11.86,87.07,6.6,29.91,65.6,197.67,2.45
Sugarcane,206.3,102.8,98.96,6.51,23.08,86.69,294.11,7.83
Cotton,75.32,46.85,94.64,6.39,33.65,49.13,77.24,2.13
Maize,116.49,32.06,51.52,7.07,31.08,71.07,278.27,3.6
Cotton,122.14,59.37,94.6,5.89,25.6,36.42,153.15,1.95
Cotton,190.59,39.64,72.13,6.8,25.56,42.53,55.99,1.42
Maize,166.36,61.51,88.67,6.18,32.38,80.72,243.85,3.26
Rice,69.85,65.52,24.17,6.64,27.78,71.09,213.9,3.02
Cotton,72.08,59.2,25.42,6.48,25.71,58.57,163.47,2.02
Sugarcane,217.0,96.79,108.09,7.38,27.45,71.45,280.01,7.98
Onion,136.2,27.42,27.49,6.53,22.49,65.48,162.01,1.8
Rice,80.17,35.45,50.33,7.03,30.76,75.68,169.39,3.02
Groundnut,35.8,62.46,54.7,6.78,34.4,46.25,120.24,1.59
Potato,147.78,63.43,128.89,5.71,7.04,75.2,138.11,2.57
Wheat,134.69,53.89,56.06,6.9,31.09,66.75,79.64,2.62
Tomato,119.29,37.85,44.34,6.8,19.98,82.49,120.41,2.5
Onion,27.5,74.45,55.87,6.58,17.55,80.99,46.79,1.36
Sugarcane,217.09,129.02,95.67,6.83,29.47,84.04,306.47,7.07
Onion,103.45,21.31,67.68,7.01,17.39,80.34,116.75,1.71
